task_l6_label,n,correct,accuracy,seed
AB,102,98,0.9607843137254902,20260521
B1,4,3,0.75,20260521
B2,7,5,0.7142857142857143,20260521
TC,13,10,0.7692307692307693,20260521
AB,102,91,0.8921568627450981,20260622
B1,4,1,0.25,20260622
B2,7,3,0.42857142857142855,20260622
TC,13,9,0.6923076923076923,20260622
AB,102,92,0.9019607843137255,20260723
B1,4,2,0.5,20260723
B2,7,2,0.2857142857142857,20260723
TC,13,8,0.6153846153846154,20260723
AB,102,87,0.8529411764705882,20260824
B1,4,2,0.5,20260824
B2,7,2,0.2857142857142857,20260824
TC,13,9,0.6923076923076923,20260824
AB,102,88,0.8627450980392157,20260925
B1,4,1,0.25,20260925
B2,7,3,0.42857142857142855,20260925
TC,13,10,0.7692307692307693,20260925
AB,102,97,0.9509803921568627,20261026
B1,4,3,0.75,20261026
B2,7,3,0.42857142857142855,20261026
TC,13,7,0.5384615384615384,20261026
AB,102,81,0.7941176470588235,20261127
B1,4,1,0.25,20261127
B2,7,5,0.7142857142857143,20261127
TC,13,10,0.7692307692307693,20261127
AB,102,93,0.9117647058823529,20261228
B1,4,1,0.25,20261228
B2,7,3,0.42857142857142855,20261228
TC,13,11,0.8461538461538461,20261228
AB,102,77,0.7549019607843137,20261329
B1,4,1,0.25,20261329
B2,7,3,0.42857142857142855,20261329
TC,13,9,0.6923076923076923,20261329
AB,102,98,0.9607843137254902,20261430
B1,4,3,0.75,20261430
B2,7,1,0.14285714285714285,20261430
TC,13,6,0.46153846153846156,20261430
