accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,candidate,threshold
0.712280701754386,0.7124704491725768,0.7152777777777778,100,44,38,103,0.7714243498817968,logreg_c0003,0.4699999999999999
0.7017543859649122,0.7015366430260047,0.6931407942238267,104,40,45,96,0.7558116627265562,extra_d7_l4,0.5099999999999999
0.7017543859649122,0.7013888888888888,0.6886446886446886,106,38,47,94,0.7496552403467297,extra_d7_l2,0.49999999999999994
0.7017543859649122,0.7007239952718676,0.6666666666666666,115,29,56,85,0.7533490937746256,svc_c1,0.5299999999999999
0.6982456140350877,0.6986554373522458,0.7074829931972789,95,49,37,104,0.7668932230102443,logreg_c001,0.42999999999999994
0.6982456140350877,0.6969562647754137,0.6532258064516129,118,26,60,81,0.7425630417651694,rf_d5,0.5199999999999999
0.6912280701754386,0.6908983451536643,0.6788321167883211,104,40,48,93,0.7637903861308116,logreg_c003,0.5499999999999999
0.6912280701754386,0.6906028368794326,0.6691729323308271,108,36,52,89,0.7441883372734437,extra_d5_l4,0.5099999999999999
0.6912280701754386,0.689346926713948,0.6206896551724138,125,19,69,72,0.7611308116627267,logreg_c01,0.82
0.6877192982456141,0.6886081560283688,0.7100977198697068,87,57,32,109,0.759801024428684,logreg_c03,0.26999999999999996
0.6877192982456141,0.6876477541371158,0.6832740213523132,100,44,45,96,0.7316784869976358,extra_dnone_l4,0.49999999999999994
0.6877192982456141,0.6868351063829787,0.6563706563706564,111,33,56,85,0.7395094562647755,rf_d7,0.5199999999999999
0.6877192982456141,0.6864657210401892,0.642570281124498,116,28,61,80,0.7272951142631993,extra_d5_l2,0.5199999999999999
0.6877192982456141,0.6855053191489362,0.600896860986547,129,15,74,67,0.7423167848699763,extra_d5_l8,0.5399999999999999
0.6842105263157895,0.6839539007092199,0.6739130434782609,102,42,48,93,0.7580279747832939,logreg_c10,0.5499999999999999
0.6807017543859649,0.6787825059101655,0.6060606060606061,124,20,71,70,0.7381796690307328,extra_dnone_l2,0.5399999999999999
0.6771929824561403,0.6769355791962175,0.6666666666666666,101,43,49,92,0.7320724980299448,extra_d7_l8,0.49999999999999994
0.6771929824561403,0.6766400709219857,0.6567164179104478,105,39,53,88,0.7313829787234042,extra_d3_l2,0.5099999999999999
0.6771929824561403,0.67649231678487,0.6515151515151515,107,37,55,86,0.7286249014972419,extra_d3_l4,0.5099999999999999
0.6736842105263158,0.6731678486997636,0.654275092936803,104,40,53,88,0.7203014184397163,mlp64_32_a003,0.48999999999999994
0.6736842105263158,0.671838061465721,0.6008583690987125,122,22,71,70,0.7272951142631994,extra_d3_l8,0.5199999999999999
0.6701754385964912,0.6713209219858156,0.7006369426751592,81,63,31,110,0.730397951142632,rf_d3,0.4699999999999999
0.6701754385964912,0.6687352245862884,0.6147540983606558,116,28,66,75,0.722517730496454,gb_d2_lr03,0.5599999999999999
0.6701754385964912,0.6679964539007093,0.5803571428571429,126,18,76,65,0.7329590228526399,extra_dnone_l8,0.5399999999999999
0.6666666666666666,0.665558510638298,0.6245059288537549,111,33,62,79,0.6969808904649332,mlp96_a003,0.8599999999999999
0.6631578947368421,0.6634160756501182,0.6689655172413793,92,52,44,97,0.7157702915681639,gb_d1_lr03,0.48999999999999994
0.624561403508772,0.6244828605200945,0.6192170818505338,91,53,54,87,0.6649674940898345,svc_c03,0.49999999999999994
0.6035087719298246,0.6017287234042553,0.5191489361702127,111,33,80,61,0.6376329787234042,knn11,0.5499999999999999
0.5824561403508772,0.5804521276595744,0.48034934497816595,111,33,86,55,0.6225620567375887,knn7,0.58
