score,accept_acc_at_30,accept_bacc_at_30,hardcore_recall_at_30,error_recall_at_30,fn_recall_at_30,best_accept_accuracy,best_review_frac,best_accept_n,review_frac_for_acc90,accept_n_for_acc90,hardcore_recall_at_acc90,error_recall_at_acc90,fn_recall_at_acc90
all_range,0.8391959798994975,0.8393470790378007,0.49230769230769234,0.5151515151515151,0.46875,0.8421052631578947,0.39999999999999997,171,,,,,
max_absdiff_to_upper,0.8190954773869347,0.8189812007277137,0.38461538461538464,0.45454545454545453,0.4375,0.8190954773869347,0.3,199,,,,,
all_std,0.8140703517587939,0.813917004048583,0.38461538461538464,0.4393939393939394,0.40625,0.8604651162790697,0.85,43,,,,,
mean_absdiff_to_upper,0.8090452261306532,0.8090172239108409,0.4153846153846154,0.42424242424242425,0.375,0.8837209302325582,0.85,43,,,,,
learn_upper_wrong_gb,0.8090452261306532,0.8098705501618123,0.4,0.42424242424242425,0.3125,0.8837209302325582,0.85,43,,,,,
learn_hard_core_extra,0.8040201005025126,0.8047570850202429,0.46153846153846156,0.4090909090909091,0.3125,0.8873239436619719,0.7499999999999999,71,,,,,
learn_upper_wrong_extra,0.8040201005025126,0.8050333535476046,0.4153846153846154,0.4090909090909091,0.25,0.8604651162790697,0.85,43,,,,,
learn_upper_wrong_rf,0.8040201005025126,0.8038888888888889,0.38461538461538464,0.4090909090909091,0.3125,0.9014084507042254,0.7499999999999999,71,0.7499999999999999,71.0,0.8615384615384616,0.8939393939393939,0.84375
learn_hard_core_logreg,0.7989949748743719,0.7988680008085709,0.47692307692307695,0.3939393939393939,0.375,0.9069767441860465,0.85,43,0.85,43.0,0.9384615384615385,0.9393939393939394,0.90625
upper_low_conf,0.7989949748743719,0.7989492826833704,0.4307692307692308,0.3939393939393939,0.375,0.9436619718309859,0.7499999999999999,71,0.7,85.0,0.8769230769230769,0.8939393939393939,0.84375
learn_hard_core_rf,0.7889447236180904,0.7893167576308875,0.46153846153846156,0.36363636363636365,0.40625,0.9069767441860465,0.85,43,0.85,43.0,0.9230769230769231,0.9393939393939394,0.90625
learn_upper_wrong_logreg,0.7839195979899497,0.7846419151957801,0.4307692307692308,0.3484848484848485,0.25,0.8352941176470589,0.7,85,,,,,
all_vote_disagree,0.7839195979899497,0.7834040832827976,0.3230769230769231,0.3484848484848485,0.375,0.8117647058823529,0.7,85,,,,,
learn_hard_core_gb,0.7688442211055276,0.7687878787878788,0.38461538461538464,0.30303030303030304,0.25,0.8604651162790697,0.85,43,,,,,
learn_upper_fn_logreg,0.7688442211055276,0.745048988951428,0.3076923076923077,0.30303030303030304,0.5625,0.8125,0.5499999999999999,128,,,,,
learn_upper_fn_rf,0.7587939698492462,0.7242000423818606,0.26153846153846155,0.2727272727272727,0.5625,0.9069767441860465,0.85,43,0.85,43.0,0.9384615384615385,0.9393939393939394,1.0
all_min_margin_inv,0.7537688442211056,0.7538888888888888,0.35384615384615387,0.25757575757575757,0.3125,0.813953488372093,0.85,43,,,,,
learn_upper_fn_extra,0.7386934673366834,0.6982702702702703,0.2153846153846154,0.21212121212121213,0.4375,0.8837209302325582,0.85,43,,,,,
learn_upper_fn_gb,0.7336683417085427,0.6942702702702703,0.2153846153846154,0.19696969696969696,0.40625,0.8028169014084507,0.7499999999999999,71,,,,,
