target,n,positive_rate,threshold,auc,ap,accuracy,balanced_accuracy,f1
cystic_change,285,0.10526315789473684,0.15999999999999998,0.6802614379084968,0.18935790570489963,0.5263157894736842,0.6617647058823529,0.2702702702702703
texture_medium,285,0.6421052631578947,0.48999999999999994,0.6725597342762242,0.7866529227123543,0.6385964912280702,0.6382995821279331,0.6943620178041543
capsule_complete,285,0.4421052631578947,0.72,0.6491963661774982,0.5692242233577338,0.656140350877193,0.644878706199461,0.5847457627118644
capsule_any,285,0.6842105263157895,0.5199999999999999,0.6324786324786323,0.7818493106661486,0.6175438596491228,0.6158119658119658,0.6894586894586895
nodular_lobulated,285,0.48771929824561405,0.5099999999999999,0.6294964028776979,0.6265398423437842,0.6175438596491228,0.617744160835715,0.6148409893992933
capsule_absent,285,0.03859649122807018,0.30999999999999994,0.6293961512939614,0.07209866169268768,0.6947368421052632,0.6230922362309224,0.12121212121212122
texture_tough,285,0.1649122807017544,0.36999999999999994,0.6159485070623995,0.2764868813388684,0.6035087719298246,0.6174682639013052,0.3468208092485549
gray_red,285,0.3684210526315789,0.20999999999999996,0.6156084656084656,0.4752048146637067,0.5719298245614035,0.6214285714285714,0.5821917808219178
texture_soft,285,0.35789473684210527,0.36999999999999994,0.600771456123433,0.4698284613530196,0.5684210526315789,0.585824493731919,0.5176470588235295
boundary_unclear,285,0.22807017543859648,0.8799999999999999,0.5869930069930069,0.38150700746469857,0.7473684210526316,0.5979020979020979,0.3684210526315789
gray_yellow,285,0.6,0.8799999999999999,0.5650456550733559,0.667066992189554,0.5368421052631579,0.5760233918128654,0.4961832061068702
boundary_clear,285,0.4842105263157895,0.9199999999999999,0.4985704426698215,0.510562579177319,0.543859649122807,0.5338657202011239,0.3157894736842105
gray_white,285,0.8701754385964913,0.8599999999999999,0.4917175239755885,0.8738939497297865,0.4421052631578947,0.5184721011333915,0.5643835616438356
fat_involved_or_attached,285,0.22456140350877193,0.8099999999999999,0.44442873303167424,0.20048925708014012,0.6596491228070176,0.5030401583710407,0.224
cut_surface_mentioned,285,0.9368421052631579,0.30999999999999994,0.3747399084477736,0.9107516139654503,0.8210526315789474,0.5159176029962547,0.9005847953216374
