workflow,scope,additional_sentinel_review_n,sentinel_rescued_fn_n,sentinel_clean_review_n,review_or_reject_n,review_or_reject_rate,auto_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp
v185_adaptive_baseline,old_data,0,0,0,154,0.22031473533619456,0,1.0,1.0,1.0,0.8737687155240348,0,0
v185_adaptive_baseline,third_batch,0,0,0,164,0.23462088698140202,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v185_adaptive_baseline,strict_external,0,0,0,94,0.13447782546494993,0,1.0,1.0,1.0,0.67317753749564,0,0
v185_adaptive_baseline,all_domains,0,0,0,412,0.5894134477825465,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v191_tab_dino_logreg_c03,old_data,6,0,6,160,0.22889842632331903,0,1.0,1.0,1.0,0.8737687155240348,0,0
v191_tab_dino_logreg_c03,third_batch,21,0,21,185,0.2646638054363376,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v191_tab_dino_logreg_c03,strict_external,0,0,0,94,0.13447782546494993,0,1.0,1.0,1.0,0.67317753749564,0,0
v191_tab_dino_logreg_c03,all_domains,27,0,27,439,0.6280400572246065,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v191_tab_dino_extra_d3,old_data,11,0,11,165,0.23605150214592274,0,1.0,1.0,1.0,0.8737687155240348,0,0
v191_tab_dino_extra_d3,third_batch,84,0,84,248,0.3547925608011445,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v191_tab_dino_extra_d3,strict_external,10,0,10,104,0.14878397711015737,0,1.0,1.0,1.0,0.67317753749564,0,0
v191_tab_dino_extra_d3,all_domains,105,0,105,517,0.7396280400572246,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
v191_tab_hgb_l2,old_data,0,0,0,154,0.22031473533619456,0,1.0,1.0,1.0,0.8737687155240348,0,0
v191_tab_hgb_l2,third_batch,0,0,0,164,0.23462088698140202,1,0.9967320261437909,0.9939024390243902,0.9938650306748467,0.818270905923345,1,0
v191_tab_hgb_l2,strict_external,0,0,0,94,0.13447782546494993,0,1.0,1.0,1.0,0.67317753749564,0,0
v191_tab_hgb_l2,all_domains,0,0,0,412,0.5894134477825465,1,0.9985693848354793,0.9981481481481482,0.9981447124304267,0.8353017353017353,1,0
