eval_group,task_l6_label,n,accuracy,balanced_accuracy,f1,tn,fp,fn,tp
third_holdout,AB,188,0.7393617021276596,,0.0,139,49,0,0
third_holdout,B1,8,0.75,,0.0,6,2,0,0
third_holdout,B2,7,0.2857142857142857,,0.4444444444444444,0,0,5,2
third_holdout,TC,31,0.5806451612903226,,0.7346938775510204,0,0,13,18
old,A,44,0.6818181818181818,,0.0,30,14,0,0
old,AB,50,0.86,,0.0,43,7,0,0
old,B1,50,0.46,,0.0,23,27,0,0
old,B2,60,0.6,,0.75,0,0,24,36
old,B3,24,0.5833333333333334,,0.7368421052631579,0,0,10,14
old,TC,57,0.6491228070175439,,0.7872340425531915,0,0,20,37
adapt72,AB,24,0.5833333333333334,,0.0,14,10,0,0
adapt72,B1,4,0.25,,0.0,1,3,0,0
adapt72,B2,22,0.5,,0.6666666666666666,0,0,11,11
adapt72,TC,22,0.8181818181818182,,0.9,0,0,4,18
